,animal_id,time,Plate.ID,species,0.00390625,0.0058594,0.0078125,0.011719,0.015625,0.0234375,0.023438,0.03125,0.046875,0.0625,0.09375,0.125,0.1875,0.25,0.375,0.5,1,npar,Infl.logX,Infl.propY,Prop.BottomAsym,Prop.TopAsym,Log.Xinfl,Log.Slope,Asym.Coef,gof,wgof,stdErr,wstdErr
45,iguana6,60,IG6,iguana,NA,0.034823285,NA,0.03967429,NA,NA,0.029279279,NA,0.032224532,NA,0.985446985,NA,NA,NA,NA,NA,NA,5,-0.983973895,1.751879741,0.033817036,4.164974666,-1.073464618,5.973643885,3.424409646,0.9999192,0.99999503,0.004416633,0.001897331
46,iguana6,120,IG6,iguana,NA,0.0003465,NA,0.018191268,NA,NA,0.012300762,NA,0.001500683,NA,0.98995149,NA,NA,NA,NA,NA,NA,5,-0.940369678,3.320022869,0.007901678,7.993552201,-1.0450626,5.215442905,3.515765973,0.999709839,0.999982903,0.008638116,0.00363181
47,iguana6,240,IG6,iguana,NA,0.002598753,NA,0.01957727,NA,NA,0.023908524,NA,0.000538544,NA,0.979209979,NA,NA,NA,NA,NA,NA,5,-1.00631323,1.314976301,0.01167385,3.104982308,-1.07560755,6.957421886,3.034658454,0.999441115,0.999966961,0.011815235,0.004975675
48,iguana7,0,IG7,iguana,NA,0.029971821,NA,0.029801042,NA,NA,0.033899752,NA,0.986679191,NA,0.988557766,NA,NA,NA,NA,NA,NA,4,-1.489358403,0.509222124,0.029886429,0.988557819,-1.489358403,16.88692873,1,0.999999987,1,6.97E-05,9.53E-06
49,iguana7,30,IG7,iguana,NA,0.02604389,NA,0.030825719,NA,NA,0.026897788,NA,0.983263598,NA,0.987533089,NA,NA,NA,NA,NA,NA,5,-1.517753756,0.392941824,0.027385544,0.987533341,-1.609515213,12.45651561,13.9004234,0.999987389,0.99999988,0.002150451,0.00036308
50,iguana7,60,IG7,iguana,NA,0.036290667,NA,0.006062676,NA,NA,0.012381522,NA,0.990436342,NA,0.992314918,NA,NA,NA,NA,NA,NA,5,-1.526310387,0.384686202,0.015011302,0.992315304,-1.616244778,13.7675322,17.30511983,0.999525191,0.999999793,0.013413991,0.00048478
51,iguana7,120,IG7,iguana,NA,0.036461447,NA,0.049611476,NA,NA,0.047049782,NA,0.989924003,NA,0.992998036,NA,NA,NA,NA,NA,NA,4,-1.483167943,0.518017216,0.043036353,0.992998078,-1.483167943,16.1481732,1,0.999919681,0.999999985,0.005368455,0.000128845
52,iguana7,240,IG7,iguana,NA,0.038169243,NA,0.028264025,NA,NA,0.050977713,NA,0.995857325,NA,0.997015725,NA,NA,NA,NA,NA,NA,5,-1.573270272,0.402737646,0.033219417,0.997010721,-1.661765052,11.95907926,11.4371044,0.999955402,0.999999539,0.004043793,0.000712375
53,iguana8,0,IG8,iguana,NA,0.003718758,NA,0.004784538,NA,NA,0.0050773,NA,0.991732555,NA,0.997432662,NA,NA,NA,NA,NA,NA,5,-1.535246917,0.388737487,0.004251455,0.997435793,-1.623739927,10.86152726,9.144695474,0.999999517,1,0.000435103,2.32E-05
54,iguana8,30,IG8,iguana,NA,0.006167434,NA,0.000778345,NA,NA,0.357433192,NA,0.990056074,NA,0.998577485,NA,NA,NA,NA,NA,NA,5,-1.59845544,0.499857793,0.002511238,0.997621257,-1.598572044,8.083208482,1.002172615,0.999970657,0.999998839,0.003124063,0.001076282
